,location
0,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/0.tiff
1,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/1.tiff
2,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/10.tiff
3,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/100.tiff
4,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/101.tiff
5,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/102.tiff
6,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/103.tiff
7,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/104.tiff
8,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/105.tiff
9,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/106.tiff
10,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/107.tiff
11,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/108.tiff
12,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/109.tiff
13,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/11.tiff
14,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/110.tiff
15,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/111.tiff
16,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/112.tiff
17,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/113.tiff
